Title,Year,Category,Session,Author,Keyword,Speed,Accuracy,Scability,Efficiency,Effectiveness,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis
AdaptiviTree: Adaptive Tree Visualization for Tournament-Style Brackets,2007,InfoVis,Applications,"Desney S. Tan, Greg Smith, Bongshin Lee, and George G. Robertson","Online fantasy sports, tournament, bracket, picks, adaptive tree visualization",,,,,1,,,,1,,,,1,,,,
"Visual Analysis of Network Traffic for Resource Planning, Interactive Monitoring, and Interpretation of Security Threats",2007,InfoVis,Applications,"Florian Mansmann, Daniel A. Keim, Stephen C. North, Brian Rexroad, and Daniel Sheleheda","Information visualization, network security, network monitoring, treemap",,,,,1,,,,,,,,1,,,,
Casual Information Visualization: Depictions of Data in Everyday Life,2007,InfoVis,InfoVis for the Masses,"Zachary Pousman, John T. Stasko, Member, IEEE, and Michael Mateas","Casual information visualization, ambient infovis, social infovis, editorial, design, evaluation",,,,1,,,,,1,,,,1,1,,,
Many Eyes: A Site for Visualization at Internet Scale,2007,InfoVis,InfoVis for the Masses,"Fernanda B. Viégas, Martin Wattenberg, Frank van Ham, Jesse Kriss, Matt McKeon","Visualization, World Wide Web, Social Software, Social Data Analysis, Communication-Minded Visualization",,,,,,,1,,,1,,1,1,,,1,
Scented Widgets: Improving Navigation Cues with Embedded Visualizations,2007,InfoVis,InfoVis for the Masses,"Wesley Willett, Jeffrey Heer, and Maneesh Agrawala","Information visualization, user interface toolkits, information foraging, social navigation, social data analysis",1,,,,1,,1,,,,1,,1,1,,1,
Show Me: Automatic Presentation for Visual Analysis,2007,InfoVis,InfoVis for the Masses,"Jock D. Mackinlay, Pat Hanrahan, and Chris Stolte","Automatic presentation, visual analysis, graphic design, best practices, data visualization, small multiples",,,,1,,,1,1,,,,1,,1,,1,
Visualizing the History of Living Spaces,2007,InfoVis,Best Paper Award,"Yuri A. IvanovMember, IEEE, Christopher R. WrenMember, IEEE, Alexander SorokinMember, IEEE, Ishwinder KaurMember, IEEE","Sensor networks, user interfaces, surveillance, timeline, spatio-temporal visualization",,,,,,,,,,,,,,,,,
Geographically Weighted Visualization: Interactive Graphics for Scale-Varying Exploratory Analysis,2007,InfoVis,Geographic Visualization,Jason Dykes and Chris Brunsdon,"Geographical weighting, exploratory data analysis, scale, multivariate, directional, interaction, coordinated views",1,1,1,,,,,,,,1,,,,,,
Hotmap Looking at Geographic Attention,2007,InfoVis,Geographic Visualization,Danyel Fisher,Geographical visualization,,,1,,,,1,,,,,,1,,,1,
Interactive Visual Exploration of a Large Spatio-Temporal Dataset: Reflections on a Geovisualization Mashup,2007,InfoVis,Geographic Visualization,"Jo Wood, Member, IEEE, Jason Dykes, Aidan Slingsby, and Keith Clarke","Large dataset visualization, text and document visualization, multiresolution visualization, geographic visualization, applications of infovis",1,,,,1,,,,,1,,1,1,,,,
